date,player_key,player_id,player,source_type,transaction_type,source_team_key,source_team_name,destination_team_key,destination_team_name
2024-01-03 08:09:22,423.p.34112,34112,Jerome Ford,waivers,add,,,423.l.129200.t.12,Yordong
2024-01-03 08:09:22,423.p.34100,34100,Sam Howell,team,drop,423.l.129200.t.12,Yordong,,
2023-12-31 08:09:24,423.p.31965,31965,Jarrett Stidham,waivers,add,,,423.l.129200.t.6,Poon Monsoon
2023-12-31 00:31:56,423.p.33465,33465,Joshua Palmer,team,drop,423.l.129200.t.6,Poon Monsoon,,
2023-12-29 00:04:32,423.p.30563,30563,Nick Mullens,team,drop,423.l.129200.t.6,Poon Monsoon,,
2023-12-28 18:44:50,423.p.40185,40185,Jaren Hall,freeagents,add,,,423.l.129200.t.2,Big Ditkas
2023-12-28 18:44:50,423.p.31965,31965,Jarrett Stidham,team,drop,423.l.129200.t.2,Big Ditkas,,
2023-12-28 18:09:34,423.p.29325,29325,Jacoby Brissett,freeagents,add,,,423.l.129200.t.7,Romo-Erotica
2023-12-28 18:09:34,423.p.25718,25718,Ryan Tannehill,team,drop,423.l.129200.t.7,Romo-Erotica,,
2023-12-27 18:01:54,423.p.40048,40048,Dalton Kincaid,freeagents,add,,,423.l.129200.t.12,Yordong
2023-12-27 18:01:54,423.p.31257,31257,Tanner Hudson,team,drop,423.l.129200.t.12,Yordong,,
2023-12-27 17:56:17,423.p.100027,100027,Tampa Bay,freeagents,add,,,423.l.129200.t.2,Big Ditkas
2023-12-27 17:56:17,423.p.25785,25785,Russell Wilson,team,drop,423.l.129200.t.2,Big Ditkas,,
2023-12-27 17:50:41,423.p.34659,34659,Rashid Shaheed,freeagents,add,,,423.l.129200.t.7,Romo-Erotica
2023-12-27 17:50:41,423.p.26483,26483,Case Keenum,team,drop,423.l.129200.t.7,Romo-Erotica,,
2023-12-27 17:49:35,423.p.34007,34007,George Pickens,freeagents,add,,,423.l.129200.t.7,Romo-Erotica
2023-12-27 17:49:35,423.p.100028,100028,Washington,team,drop,423.l.129200.t.7,Romo-Erotica,,
2023-12-27 17:49:03,423.p.32417,32417,Chase McLaughlin,freeagents,add,,,423.l.129200.t.7,Romo-Erotica
2023-12-27 17:49:03,423.p.33537,33537,Evan McPherson,team,drop,423.l.129200.t.7,Romo-Erotica,,
2023-12-27 17:11:27,423.p.24967,24967,Tyrod Taylor,freeagents,add,,,423.l.129200.t.2,Big Ditkas
2023-12-27 17:11:27,423.p.34112,34112,Jerome Ford,team,drop,423.l.129200.t.2,Big Ditkas,,
2023-12-27 17:08:11,423.p.31965,31965,Jarrett Stidham,freeagents,add,,,423.l.129200.t.2,Big Ditkas
2023-12-27 17:08:11,423.p.40504,40504,Tyson Bagent,team,drop,423.l.129200.t.2,Big Ditkas,,
2023-12-27 08:10:32,423.p.100033,100033,Baltimore,waivers,add,,,423.l.129200.t.2,Big Ditkas
2023-12-27 08:10:32,423.p.100020,100020,New York,team,drop,423.l.129200.t.2,Big Ditkas,,
2023-12-27 08:10:32,423.p.100014,100014,Los Angeles,waivers,add,,,423.l.129200.t.12,Yordong
2023-12-27 08:10:32,423.p.40126,40126,Josh Downs,team,drop,423.l.129200.t.12,Yordong,,
2023-12-26 15:38:41,423.p.28638,28638,Trevor Siemian,team,drop,423.l.129200.t.7,Romo-Erotica,,
2023-12-24 17:17:46,423.p.27548,27548,Brandin Cooks,freeagents,add,,,423.l.129200.t.4,Greek Magic
2023-12-24 17:17:46,423.p.34008,34008,Alec Pierce,team,drop,423.l.129200.t.4,Greek Magic,,
2023-12-24 15:41:15,423.p.34008,34008,Alec Pierce,freeagents,add,,,423.l.129200.t.4,Greek Magic
2023-12-24 15:41:15,423.p.100009,100009,Green Bay,team,drop,423.l.129200.t.4,Greek Magic,,
2023-12-23 08:05:34,423.p.25718,25718,Ryan Tannehill,freeagents,add,,,423.l.129200.t.7,Romo-Erotica
2023-12-23 08:05:34,423.p.33390,33390,Zach Wilson,team,drop,423.l.129200.t.7,Romo-Erotica,,
2023-12-22 22:18:19,423.p.28638,28638,Trevor Siemian,freeagents,add,,,423.l.129200.t.7,Romo-Erotica
2023-12-22 01:38:29,423.p.34078,34078,Zamir White,freeagents,add,,,423.l.129200.t.7,Romo-Erotica
