player_key,player_id,player_name,team,nfl_player_key,position,bye_week,points,league_key
414.p.30123,30123,Patrick Mahomes,Kansas City Chiefs,nfl.p.30123,QB,8,417.40,414.l.153035
414.p.30977,30977,Josh Allen,Buffalo Bills,nfl.p.30977,QB,17,405.52,414.l.153035
414.p.32723,32723,Jalen Hurts,Philadelphia Eagles,nfl.p.32723,QB,7,382.04,414.l.153035
414.p.30423,30423,Austin Ekeler,Los Angeles Chargers,nfl.p.30423,RB,8,378.70,414.l.153035
414.p.32692,32692,Justin Jefferson,Minnesota Vikings,nfl.p.32692,WR,7,368.66,414.l.153035
414.p.32671,32671,Joe Burrow,Cincinnati Bengals,nfl.p.32671,QB,17,356.70,414.l.153035
414.p.30121,30121,Christian McCaffrey,San Francisco 49ers,nfl.p.30121,RB,9,356.36,414.l.153035
414.p.29399,29399,Tyreek Hill,Miami Dolphins,nfl.p.29399,WR,11,347.20,414.l.153035
414.p.27581,27581,Davante Adams,Las Vegas Raiders,nfl.p.27581,WR,6,335.50,414.l.153035
414.p.31856,31856,Josh Jacobs,Las Vegas Raiders,nfl.p.31856,RB,6,330.30,414.l.153035
414.p.26686,26686,Travis Kelce,Kansas City Chiefs,nfl.p.26686,TE,8,318.30,414.l.153035
414.p.28534,28534,Stefon Diggs,Buffalo Bills,nfl.p.28534,WR,17,316.60,414.l.153035
414.p.33389,33389,Trevor Lawrence,Jacksonville Jaguars,nfl.p.33389,QB,11,313.62,414.l.153035
414.p.26662,26662,Geno Smith,Seattle Seahawks,nfl.p.26662,QB,11,311.88,414.l.153035
414.p.29279,29279,Derrick Henry,Tennessee Titans,nfl.p.29279,RB,6,308.76,414.l.153035
414.p.31883,31883,A.J. Brown,Philadelphia Eagles,nfl.p.31883,WR,7,303.60,414.l.153035
414.p.32687,32687,CeeDee Lamb,Dallas Cowboys,nfl.p.32687,WR,9,301.60,414.l.153035
414.p.33399,33399,Justin Fields,Chicago Bears,nfl.p.33399,QB,14,299.98,414.l.153035
414.p.25812,25812,Kirk Cousins,Minnesota Vikings,nfl.p.25812,QB,7,297.58,414.l.153035
414.p.31838,31838,Daniel Jones,New York Giants,nfl.p.31838,QB,9,295.00,414.l.153035
414.p.29235,29235,Jared Goff,Detroit Lions,nfl.p.29235,QB,6,292.32,414.l.153035
414.p.32676,32676,Justin Herbert,Los Angeles Chargers,nfl.p.32676,QB,8,287.26,414.l.153035
414.p.30972,30972,Saquon Barkley,New York Giants,nfl.p.30972,RB,9,284.00,414.l.153035
414.p.31005,31005,Nick Chubb,Cleveland Browns,nfl.p.31005,RB,9,283.40,414.l.153035
414.p.5228,5228,Tom Brady,Tampa Bay Buccaneers,nfl.p.5228,QB,11,279.66,414.l.153035
414.p.33500,33500,Amon-Ra St. Brown,Detroit Lions,nfl.p.33500,WR,6,267.60,414.l.153035
414.p.33394,33394,Jaylen Waddle,Miami Dolphins,nfl.p.33394,WR,11,261.20,414.l.153035
