date,player_key,player_id,player,source_type,transaction_type,source_team_key,source_team_name,destination_team_key,destination_team_name
2022-01-02 10:06:27,406.p.100009,100009,Green Bay,freeagents,add,,,406.l.161660.t.8,Johnny Utah
2022-01-02 10:06:27,406.p.100004,100004,Cincinnati,team,drop,406.l.161660.t.8,Johnny Utah,,
2022-01-01 20:26:38,406.p.26804,26804,Latavius Murray,team,drop,406.l.161660.t.11,The Moose Knucklers,,
2022-01-01 09:50:58,406.p.31171,31171,Boston Scott,freeagents,add,,,406.l.161660.t.4,DerricksSexualFavors
2022-01-01 09:50:58,406.p.33422,33422,Elijah Moore,team,drop,406.l.161660.t.4,DerricksSexualFavors,,
2021-12-31 16:14:56,406.p.33706,33706,Jaret Patterson,freeagents,add,,,406.l.161660.t.10,Spark that Spliff
2021-12-31 16:13:44,406.p.100015,100015,Miami,team,drop,406.l.161660.t.10,Spark that Spliff,,
2021-12-29 10:59:07,406.p.30860,30860,Dare Ogunbowale,freeagents,add,,,406.l.161660.t.12,WARREN MOON
2021-12-29 10:59:07,406.p.100009,100009,Green Bay,team,drop,406.l.161660.t.12,WARREN MOON,,
2021-12-29 09:02:38,406.p.100003,100003,Chicago,freeagents,add,,,406.l.161660.t.9,Poon Monsoon
2021-12-29 09:02:18,406.p.33408,33408,Kadarius Toney,freeagents,add,,,406.l.161660.t.9,Poon Monsoon
2021-12-29 09:01:42,406.p.31164,31164,Russell Gage,team,drop,406.l.161660.t.9,Poon Monsoon,,
2021-12-29 09:01:33,406.p.100021,100021,Philadelphia,team,drop,406.l.161660.t.9,Poon Monsoon,,
2021-12-29 01:21:00,406.p.33422,33422,Elijah Moore,waivers,add,,,406.l.161660.t.4,DerricksSexualFavors
2021-12-29 01:21:00,406.p.33138,33138,James Robinson,team,drop,406.l.161660.t.4,DerricksSexualFavors,,
2021-12-26 01:14:40,406.p.100015,100015,Miami,waivers,add,,,406.l.161660.t.10,Spark that Spliff
2021-12-26 01:14:40,406.p.30197,30197,Chris Godwin,team,drop,406.l.161660.t.10,Spark that Spliff,,
2021-12-24 07:25:09,406.p.31366,31366,Michael Badgley,freeagents,add,,,406.l.161660.t.6,Greek Magic
2021-12-24 07:25:09,406.p.30346,30346,Harrison Butker,team,drop,406.l.161660.t.6,Greek Magic,,
2021-12-23 17:09:14,406.p.31008,31008,Ronald Jones II,freeagents,add,,,406.l.161660.t.10,Spark that Spliff
2021-12-23 17:09:14,406.p.30202,30202,D'Onta Foreman,team,drop,406.l.161660.t.10,Spark that Spliff,,
2021-12-23 08:53:12,406.p.31394,31394,Jeff Wilson Jr.,freeagents,add,,,406.l.161660.t.1,F.Y.H.
2021-12-23 08:53:12,406.p.31144,31144,Marquez Valdes-Scantling,team,drop,406.l.161660.t.1,F.Y.H.,,
2021-12-23 08:49:39,406.p.100001,100001,Atlanta,freeagents,add,,,406.l.161660.t.1,F.Y.H.
2021-12-23 08:49:39,406.p.28839,28839,Taylor Heinicke,team,drop,406.l.161660.t.1,F.Y.H.,,
2021-12-23 07:52:07,406.p.100018,100018,New Orleans,freeagents,add,,,406.l.161660.t.3,Big Ditkas
2021-12-23 07:52:07,406.p.100015,100015,Miami,team,drop,406.l.161660.t.3,Big Ditkas,,
2021-12-23 07:49:07,406.p.32713,32713,Cole Kmet,freeagents,add,,,406.l.161660.t.4,DerricksSexualFavors
2021-12-23 07:49:07,406.p.30142,30142,David Njoku,team,drop,406.l.161660.t.4,DerricksSexualFavors,,
2021-12-23 01:25:55,406.p.31221,31221,Justin Jackson,waivers,add,,,406.l.161660.t.6,Greek Magic
2021-12-23 01:25:55,406.p.25812,25812,Kirk Cousins,team,drop,406.l.161660.t.6,Greek Magic,,
2021-12-23 01:25:55,406.p.9353,9353,Jared Cook,waivers,add,,,406.l.161660.t.1,F.Y.H.
2021-12-23 01:25:55,406.p.26650,26650,DeAndre Hopkins,team,drop,406.l.161660.t.1,F.Y.H.,,
2021-12-23 01:25:55,406.p.33500,33500,Amon-Ra St. Brown,waivers,add,,,406.l.161660.t.10,Spark that Spliff
2021-12-23 01:25:55,406.p.29315,29315,Austin Hooper,team,drop,406.l.161660.t.10,Spark that Spliff,,
2021-12-23 01:25:55,406.p.100024,100024,Los Angeles,waivers,add,,,406.l.161660.t.6,Greek Magic
2021-12-23 01:25:55,406.p.100022,100022,Arizona,team,drop,406.l.161660.t.6,Greek Magic,,
2021-12-23 01:25:55,406.p.24171,24171,Antonio Brown,waivers,add,,,406.l.161660.t.4,DerricksSexualFavors
2021-12-23 01:25:55,406.p.32685,32685,Jerry Jeudy,team,drop,406.l.161660.t.4,DerricksSexualFavors,,
2021-12-20 09:45:11,406.p.30157,30157,Gerald Everett,freeagents,add,,,406.l.161660.t.5,Fuck Yas all
2021-12-20 09:45:11,406.p.100007,100007,Denver,team,drop,406.l.161660.t.5,Fuck Yas all,,
2021-12-18 15:01:47,406.p.32675,32675,Tua Tagovailoa,freeagents,add,,,406.l.161660.t.4,DerricksSexualFavors
2021-12-18 15:01:47,406.p.24788,24788,Cam Newton,team,drop,406.l.161660.t.4,DerricksSexualFavors,,
2021-12-17 09:28:52,406.p.29269,29269,Hunter Henry,freeagents,add,,,406.l.161660.t.9,Poon Monsoon
2021-12-17 09:28:09,406.p.31840,31840,T.J. Hockenson,team,drop,406.l.161660.t.9,Poon Monsoon,,
2021-12-16 22:00:58,406.p.30142,30142,David Njoku,freeagents,add,,,406.l.161660.t.4,DerricksSexualFavors
2021-12-16 22:00:58,406.p.31969,31969,Foster Moreau,team,drop,406.l.161660.t.4,DerricksSexualFavors,,
2021-12-16 21:59:54,406.p.32846,32846,K.J. Osborn,freeagents,add,,,406.l.161660.t.4,DerricksSexualFavors
2021-12-16 21:59:54,406.p.24815,24815,Mark Ingram II,team,drop,406.l.161660.t.4,DerricksSexualFavors,,
2021-12-16 20:29:12,406.p.100021,100021,Philadelphia,freeagents,add,,,406.l.161660.t.9,Poon Monsoon
2021-12-15 19:23:28,406.p.30997,30997,Rashaad Penny,freeagents,add,,,406.l.161660.t.12,WARREN MOON
2021-12-15 19:23:28,406.p.31394,31394,Jeff Wilson Jr.,team,drop,406.l.161660.t.12,WARREN MOON,,
2021-12-15 04:26:12,406.p.33399,33399,Justin Fields,freeagents,add,,,406.l.161660.t.3,Big Ditkas
2021-12-15 04:26:12,406.p.27560,27560,Teddy Bridgewater,team,drop,406.l.161660.t.3,Big Ditkas,,
2021-12-15 02:11:38,406.p.100017,100017,New England,waivers,add,,,406.l.161660.t.3,Big Ditkas
2021-12-15 02:11:38,406.p.100029,100029,Carolina,team,drop,406.l.161660.t.3,Big Ditkas,,
2021-12-15 02:11:38,406.p.32798,32798,Gabriel Davis,waivers,add,,,406.l.161660.t.9,Poon Monsoon
2021-12-15 02:11:38,406.p.100025,100025,San Francisco,waivers,add,,,406.l.161660.t.2,Bang Bang!!!
2021-12-15 02:11:38,406.p.100013,100013,Las Vegas,team,drop,406.l.161660.t.2,Bang Bang!!!,,
2021-12-14 14:46:49,406.p.33644,33644,Jermar Jefferson,team,drop,406.l.161660.t.6,Greek Magic,,
2021-12-14 11:24:00,406.p.100024,100024,Los Angeles,team,drop,406.l.161660.t.9,Poon Monsoon,,
2021-12-14 07:11:30,406.p.100018,100018,New Orleans,team,drop,406.l.161660.t.10,Spark that Spliff,,
2021-12-13 15:05:35,406.p.32125,32125,Kendall Blanton,freeagents,add,,,406.l.161660.t.5,Fuck Yas all
2021-12-13 15:05:35,406.p.27564,27564,Derek Carr,team,drop,406.l.161660.t.5,Fuck Yas all,,
2021-12-12 13:47:36,406.p.31144,31144,Marquez Valdes-Scantling,freeagents,add,,,406.l.161660.t.1,F.Y.H.
2021-12-12 13:47:36,406.p.33422,33422,Elijah Moore,team,drop,406.l.161660.t.1,F.Y.H.,,
2021-12-12 13:43:02,406.p.27560,27560,Teddy Bridgewater,freeagents,add,,,406.l.161660.t.3,Big Ditkas
2021-12-12 13:43:02,406.p.33399,33399,Justin Fields,team,drop,406.l.161660.t.3,Big Ditkas,,
2021-12-12 10:39:21,406.p.33644,33644,Jermar Jefferson,freeagents,add,,,406.l.161660.t.6,Greek Magic
2021-12-12 10:39:21,406.p.28514,28514,Mike Davis,team,drop,406.l.161660.t.6,Greek Magic,,
2021-12-12 09:16:22,406.p.100012,100012,Kansas City,freeagents,add,,,406.l.161660.t.7,The Hebrew Hammer
2021-12-12 09:16:22,406.p.100019,100019,New York,team,drop,406.l.161660.t.7,The Hebrew Hammer,,
2021-12-12 08:29:00,406.p.29315,29315,Austin Hooper,freeagents,add,,,406.l.161660.t.10,Spark that Spliff
2021-12-12 08:29:00,406.p.30494,30494,Ricky Seals-Jones,team,drop,406.l.161660.t.10,Spark that Spliff,,
2021-12-11 10:15:17,406.p.31394,31394,Jeff Wilson Jr.,freeagents,add,,,406.l.161660.t.12,WARREN MOON
2021-12-11 10:15:17,406.p.31171,31171,Boston Scott,team,drop,406.l.161660.t.12,WARREN MOON,,
2021-12-11 01:47:42,406.p.30202,30202,D'Onta Foreman,waivers,add,,,406.l.161660.t.10,Spark that Spliff
2021-12-11 01:47:42,406.p.28461,28461,Tevin Coleman,team,drop,406.l.161660.t.10,Spark that Spliff,,
2021-12-09 21:21:07,406.p.100033,100033,Baltimore,freeagents,add,,,406.l.161660.t.11,The Moose Knucklers
2021-12-09 21:21:07,406.p.100017,100017,New England,team,drop,406.l.161660.t.11,The Moose Knucklers,,
2021-12-09 14:36:31,406.p.26800,26800,Dustin Hopkins,freeagents,add,,,406.l.161660.t.8,Johnny Utah
2021-12-09 14:36:31,406.p.30266,30266,Jake Elliott,team,drop,406.l.161660.t.8,Johnny Utah,,
2021-12-09 14:35:23,406.p.100004,100004,Cincinnati,freeagents,add,,,406.l.161660.t.8,Johnny Utah
2021-12-09 14:35:23,406.p.100003,100003,Chicago,team,drop,406.l.161660.t.8,Johnny Utah,,
2021-12-08 18:25:08,406.p.100018,100018,New Orleans,freeagents,add,,,406.l.161660.t.10,Spark that Spliff
2021-12-08 18:25:08,406.p.31074,31074,Nyheim Hines,team,drop,406.l.161660.t.10,Spark that Spliff,,
2021-12-08 18:24:30,406.p.27120,27120,Brandon McManus,freeagents,add,,,406.l.161660.t.10,Spark that Spliff
2021-12-08 18:24:30,406.p.30552,30552,Matt Breida,team,drop,406.l.161660.t.10,Spark that Spliff,,
2021-12-08 18:23:33,406.p.30494,30494,Ricky Seals-Jones,freeagents,add,,,406.l.161660.t.10,Spark that Spliff
2021-12-08 14:25:03,406.p.100005,100005,Cleveland,freeagents,add,,,406.l.161660.t.1,F.Y.H.
2021-12-08 14:25:03,406.p.100012,100012,Kansas City,team,drop,406.l.161660.t.1,F.Y.H.,,
2021-12-08 09:51:23,406.p.28514,28514,Mike Davis,freeagents,add,,,406.l.161660.t.6,Greek Magic
2021-12-08 08:01:20,406.p.100029,100029,Carolina,freeagents,add,,,406.l.161660.t.3,Big Ditkas
2021-12-08 08:01:20,406.p.32675,32675,Tua Tagovailoa,team,drop,406.l.161660.t.3,Big Ditkas,,
2021-12-08 07:35:47,406.p.100024,100024,Los Angeles,freeagents,add,,,406.l.161660.t.9,Poon Monsoon
2021-12-08 07:35:47,406.p.30202,30202,D'Onta Foreman,team,drop,406.l.161660.t.9,Poon Monsoon,,
2021-12-08 01:23:35,406.p.8565,8565,Matt Prater,waivers,add,,,406.l.161660.t.1,F.Y.H.
2021-12-08 01:23:35,406.p.31366,31366,Michael Badgley,team,drop,406.l.161660.t.1,F.Y.H.,,
2021-12-08 01:23:35,406.p.100007,100007,Denver,waivers,add,,,406.l.161660.t.5,Fuck Yas all
2021-12-08 01:23:35,406.p.100021,100021,Philadelphia,team,drop,406.l.161660.t.5,Fuck Yas all,,
2021-12-08 01:23:35,406.p.100010,100010,Tennessee,waivers,add,,,406.l.161660.t.6,Greek Magic
2021-12-08 01:23:35,406.p.100016,100016,Minnesota,team,drop,406.l.161660.t.6,Greek Magic,,
2021-12-08 01:23:35,406.p.100009,100009,Green Bay,waivers,add,,,406.l.161660.t.12,WARREN MOON
2021-12-08 01:23:35,406.p.31394,31394,Jeff Wilson Jr.,team,drop,406.l.161660.t.12,WARREN MOON,,
2021-12-08 01:23:35,406.p.31164,31164,Russell Gage,waivers,add,,,406.l.161660.t.9,Poon Monsoon
2021-12-08 01:23:35,406.p.31127,31127,Tyler Conklin,waivers,add,,,406.l.161660.t.4,DerricksSexualFavors
2021-12-08 01:23:35,406.p.24171,24171,Antonio Brown,team,drop,406.l.161660.t.4,DerricksSexualFavors,,
2021-12-08 01:23:35,406.p.31457,31457,Dontrell Hilliard,waivers,add,,,406.l.161660.t.2,Bang Bang!!!
2021-12-07 14:29:57,406.p.100025,100025,San Francisco,team,drop,406.l.161660.t.9,Poon Monsoon,,
2021-12-07 14:29:26,406.p.29307,29307,Kenyan Drake,team,drop,406.l.161660.t.9,Poon Monsoon,,
2021-12-07 05:24:56,406.p.27648,27648,Logan Thomas,team,drop,406.l.161660.t.10,Spark that Spliff,,
2021-12-05 09:35:42,406.p.26060,26060,Cole Beasley,freeagents,add,,,406.l.161660.t.8,Johnny Utah
