pick,round,team_key,player_key
49,5,414.l.153035.t.7,414.p.32723
50,5,414.l.153035.t.2,414.p.32725
51,5,414.l.153035.t.8,414.p.33500
52,5,414.l.153035.t.6,414.p.29281
53,5,414.l.153035.t.11,414.p.27589
54,5,414.l.153035.t.4,414.p.31833
55,5,414.l.153035.t.5,414.p.28392
56,5,414.l.153035.t.10,414.p.32736
57,5,414.l.153035.t.3,414.p.31981
58,5,414.l.153035.t.1,414.p.31906
59,5,414.l.153035.t.9,414.p.27548
60,5,414.l.153035.t.12,414.p.34063
61,6,414.l.153035.t.12,414.p.31868
62,6,414.l.153035.t.9,414.p.31107
63,6,414.l.153035.t.1,414.p.31885
64,6,414.l.153035.t.3,414.p.31268
65,6,414.l.153035.t.10,414.p.33582
66,6,414.l.153035.t.5,414.p.32702
67,6,414.l.153035.t.4,414.p.33996
68,6,414.l.153035.t.11,414.p.32685
69,6,414.l.153035.t.6,414.p.7200
70,6,414.l.153035.t.8,414.p.31857
71,6,414.l.153035.t.2,414.p.5228
72,6,414.l.153035.t.7,414.p.33415
73,7,414.l.153035.t.7,414.p.31019
74,7,414.l.153035.t.2,414.p.32695
75,7,414.l.153035.t.8,414.p.31840
76,7,414.l.153035.t.6,414.p.30197
77,7,414.l.153035.t.11,414.p.32671
78,7,414.l.153035.t.4,414.p.31104
79,7,414.l.153035.t.5,414.p.33394
80,7,414.l.153035.t.10,414.p.31919
81,7,414.l.153035.t.3,414.p.25785
82,7,414.l.153035.t.1,414.p.28457
83,7,414.l.153035.t.9,414.p.26652
84,7,414.l.153035.t.12,414.p.100002
85,8,414.l.153035.t.12,414.p.26650
86,8,414.l.153035.t.9,414.p.30997
87,8,414.l.153035.t.1,414.p.29369
88,8,414.l.153035.t.3,414.p.30218
89,8,414.l.153035.t.10,414.p.26658
90,8,414.l.153035.t.5,414.p.30199
91,8,414.l.153035.t.4,414.p.33508
92,8,414.l.153035.t.11,414.p.28403
93,8,414.l.153035.t.6,414.p.34019
94,8,414.l.153035.t.8,414.p.33138
95,8,414.l.153035.t.2,414.p.33422
96,8,414.l.153035.t.7,414.p.33398
97,9,414.l.153035.t.7,414.p.32843
98,9,414.l.153035.t.2,414.p.31074
99,9,414.l.153035.t.8,414.p.33443
100,9,414.l.153035.t.6,414.p.32704
101,9,414.l.153035.t.11,414.p.9265
102,9,414.l.153035.t.4,414.p.31017
103,9,414.l.153035.t.5,414.p.26534
104,9,414.l.153035.t.10,414.p.30120
105,9,414.l.153035.t.3,414.p.33391
106,9,414.l.153035.t.1,414.p.31928
107,9,414.l.153035.t.9,414.p.26664
108,9,414.l.153035.t.12,414.p.33963
109,10,414.l.153035.t.12,414.p.32719
110,10,414.l.153035.t.9,414.p.34054
111,10,414.l.153035.t.1,414.p.34079
112,10,414.l.153035.t.3,414.p.32713
113,10,414.l.153035.t.10,414.p.33408
114,10,414.l.153035.t.5,414.p.31012
115,10,414.l.153035.t.4,414.p.31960
116,10,414.l.153035.t.11,414.p.31934
117,10,414.l.153035.t.6,414.p.28402
118,10,414.l.153035.t.8,414.p.27564
119,10,414.l.153035.t.2,414.p.33966
120,10,414.l.153035.t.7,414.p.33495
121,11,414.l.153035.t.7,414.p.24793
122,11,414.l.153035.t.2,414.p.100014
123,11,414.l.153035.t.8,414.p.31144
124,11,414.l.153035.t.6,414.p.33538
125,11,414.l.153035.t.11,414.p.31852
126,11,414.l.153035.t.4,414.p.34009
127,11,414.l.153035.t.5,414.p.100025
128,11,414.l.153035.t.10,414.p.33389
129,11,414.l.153035.t.3,414.p.34007
130,11,414.l.153035.t.1,414.p.34088
131,11,414.l.153035.t.9,414.p.100027
132,11,414.l.153035.t.12,414.p.30777
133,12,414.l.153035.t.12,414.p.29288
134,12,414.l.153035.t.9,414.p.30125
135,12,414.l.153035.t.1,414.p.33605
136,12,414.l.153035.t.3,414.p.34107
137,12,414.l.153035.t.10,414.p.33973
138,12,414.l.153035.t.5,414.p.31051
139,12,414.l.153035.t.4,414.p.25812
140,12,414.l.153035.t.11,414.p.100006
141,12,414.l.153035.t.6,414.p.31888
142,12,414.l.153035.t.8,414.p.100009
143,12,414.l.153035.t.2,414.p.30256
144,12,414.l.153035.t.7,414.p.33399
145,13,414.l.153035.t.7,414.p.31902
146,13,414.l.153035.t.2,414.p.34207
147,13,414.l.153035.t.8,414.p.32798
148,13,414.l.153035.t.6,414.p.33437
149,13,414.l.153035.t.11,414.p.34078
150,13,414.l.153035.t.4,414.p.33989
151,13,414.l.153035.t.5,414.p.31031
152,13,414.l.153035.t.10,414.p.25876
153,13,414.l.153035.t.3,414.p.33965
154,13,414.l.153035.t.1,414.p.29235
155,13,414.l.153035.t.9,414.p.32675
156,13,414.l.153035.t.12,414.p.28654
157,14,414.l.153035.t.12,414.p.30247
158,14,414.l.153035.t.9,414.p.33537
159,14,414.l.153035.t.1,414.p.100023
160,14,414.l.153035.t.3,414.p.32858
161,14,414.l.153035.t.10,414.p.31137
162,14,414.l.153035.t.5,414.p.29269
163,14,414.l.153035.t.4,414.p.34047
164,14,414.l.153035.t.11,414.p.30142
165,14,414.l.153035.t.6,414.p.100011
166,14,414.l.153035.t.8,414.p.31977
167,14,414.l.153035.t.2,414.p.30346
168,14,414.l.153035.t.7,414.p.100033
169,15,414.l.153035.t.7,414.p.28227
170,15,414.l.153035.t.2,414.p.29650
171,15,414.l.153035.t.8,414.p.33514
172,15,414.l.153035.t.6,414.p.27591
173,15,414.l.153035.t.11,414.p.32231
174,15,414.l.153035.t.4,414.p.9520
175,15,414.l.153035.t.5,414.p.33971
176,15,414.l.153035.t.10,414.p.100017
177,15,414.l.153035.t.3,414.p.100024
178,15,414.l.153035.t.1,414.p.31538
179,15,414.l.153035.t.9,414.p.33967
180,15,414.l.153035.t.12,414.p.30118
