pick,round,team_key,player_key
1,1,414.l.153035.t.7,414.p.32711
2,1,414.l.153035.t.2,414.p.30423
3,1,414.l.153035.t.8,414.p.33412
4,1,414.l.153035.t.6,414.p.30121
5,1,414.l.153035.t.11,414.p.29279
6,1,414.l.153035.t.4,414.p.32692
7,1,414.l.153035.t.5,414.p.30154
8,1,414.l.153035.t.10,414.p.33393
9,1,414.l.153035.t.3,414.p.30161
10,1,414.l.153035.t.1,414.p.27581
11,1,414.l.153035.t.9,414.p.32705
12,1,414.l.153035.t.12,414.p.30180
13,2,414.l.153035.t.12,414.p.26686
14,2,414.l.153035.t.9,414.p.28534
15,2,414.l.153035.t.1,414.p.30295
16,2,414.l.153035.t.3,414.p.32687
17,2,414.l.153035.t.10,414.p.30977
18,2,414.l.153035.t.5,414.p.31005
19,2,414.l.153035.t.4,414.p.30972
20,2,414.l.153035.t.11,414.p.26699
21,2,414.l.153035.t.6,414.p.29399
22,2,414.l.153035.t.8,414.p.33423
23,2,414.l.153035.t.2,414.p.30117
24,2,414.l.153035.t.7,414.p.31905
25,3,414.l.153035.t.7,414.p.27535
26,3,414.l.153035.t.2,414.p.31056
27,3,414.l.153035.t.8,414.p.32676
28,3,414.l.153035.t.6,414.p.29238
29,3,414.l.153035.t.11,414.p.32722
30,3,414.l.153035.t.4,414.p.33392
31,3,414.l.153035.t.5,414.p.31002
32,3,414.l.153035.t.10,414.p.33991
33,3,414.l.153035.t.3,414.p.33413
34,3,414.l.153035.t.1,414.p.30182
35,3,414.l.153035.t.9,414.p.31883
36,3,414.l.153035.t.12,414.p.30123
37,4,414.l.153035.t.12,414.p.31856
38,4,414.l.153035.t.9,414.p.32703
39,4,414.l.153035.t.1,414.p.32732
40,4,414.l.153035.t.3,414.p.30259
41,4,414.l.153035.t.10,414.p.27277
42,4,414.l.153035.t.5,414.p.31896
43,4,414.l.153035.t.4,414.p.31010
44,4,414.l.153035.t.11,414.p.30994
45,4,414.l.153035.t.6,414.p.28592
46,4,414.l.153035.t.8,414.p.31908
47,4,414.l.153035.t.2,414.p.31898
48,4,414.l.153035.t.7,414.p.30175
