pick,round,team_key,player_key
127,11,406.l.161660.t.4,406.p.30136
128,11,406.l.161660.t.10,406.p.31074
129,11,406.l.161660.t.5,406.p.28402
130,11,406.l.161660.t.6,406.p.32704
131,11,406.l.161660.t.3,406.p.30213
132,11,406.l.161660.t.9,406.p.29255
133,12,406.l.161660.t.9,406.p.33447
134,12,406.l.161660.t.3,406.p.33390
135,12,406.l.161660.t.6,406.p.31857
136,12,406.l.161660.t.5,406.p.29650
137,12,406.l.161660.t.10,406.p.30153
138,12,406.l.161660.t.4,406.p.31960
139,12,406.l.161660.t.12,406.p.31379
140,12,406.l.161660.t.8,406.p.30346
141,12,406.l.161660.t.1,406.p.31934
142,12,406.l.161660.t.11,406.p.26658
143,12,406.l.161660.t.2,406.p.24851
144,12,406.l.161660.t.7,406.p.25876
145,13,406.l.161660.t.7,406.p.100027
146,13,406.l.161660.t.2,406.p.100028
147,13,406.l.161660.t.11,406.p.26804
148,13,406.l.161660.t.1,406.p.33443
149,13,406.l.161660.t.8,406.p.100025
150,13,406.l.161660.t.12,406.p.25802
151,13,406.l.161660.t.4,406.p.33109
152,13,406.l.161660.t.10,406.p.100002
153,13,406.l.161660.t.5,406.p.9520
154,13,406.l.161660.t.6,406.p.24017
155,13,406.l.161660.t.3,406.p.30426
156,13,406.l.161660.t.9,406.p.33514
157,14,406.l.161660.t.9,406.p.25881
158,14,406.l.161660.t.3,406.p.100033
159,14,406.l.161660.t.6,406.p.8780
160,14,406.l.161660.t.5,406.p.29269
161,14,406.l.161660.t.10,406.p.32231
162,14,406.l.161660.t.4,406.p.100012
163,14,406.l.161660.t.12,406.p.28408
164,14,406.l.161660.t.8,406.p.33403
165,14,406.l.161660.t.1,406.p.32922
166,14,406.l.161660.t.11,406.p.100017
167,14,406.l.161660.t.2,406.p.29315
168,14,406.l.161660.t.7,406.p.33408
169,15,406.l.161660.t.7,406.p.32775
170,15,406.l.161660.t.2,406.p.32858
171,15,406.l.161660.t.11,406.p.31199
172,15,406.l.161660.t.1,406.p.31137
173,15,406.l.161660.t.8,406.p.32691
174,15,406.l.161660.t.12,406.p.32751
175,15,406.l.161660.t.4,406.p.31977
176,15,406.l.161660.t.10,406.p.33211
177,15,406.l.161660.t.5,406.p.100011
178,15,406.l.161660.t.6,406.p.100007
179,15,406.l.161660.t.3,406.p.33415
180,15,406.l.161660.t.9,406.p.32798
