pick,round,team_key,player_key
1,1,423.l.129200.t.8,423.p.30977
2,1,423.l.129200.t.12,423.p.31002
3,1,423.l.129200.t.2,423.p.32692
4,1,423.l.129200.t.3,423.p.30121
5,1,423.l.129200.t.5,423.p.33393
6,1,423.l.129200.t.10,423.p.30182
7,1,423.l.129200.t.9,423.p.32671
8,1,423.l.129200.t.7,423.p.26686
9,1,423.l.129200.t.11,423.p.30123
10,1,423.l.129200.t.4,423.p.29399
11,1,423.l.129200.t.1,423.p.30423
12,1,423.l.129200.t.6,423.p.32676
13,2,423.l.129200.t.6,423.p.29279
14,2,423.l.129200.t.1,423.p.30972
15,2,423.l.129200.t.4,423.p.30125
16,2,423.l.129200.t.11,423.p.40055
17,2,423.l.129200.t.7,423.p.29369
18,2,423.l.129200.t.9,423.p.27581
19,2,423.l.129200.t.10,423.p.31005
20,2,423.l.129200.t.5,423.p.31960
21,2,423.l.129200.t.3,423.p.31896
22,2,423.l.129200.t.2,423.p.33500
23,2,423.l.129200.t.12,423.p.40040
24,2,423.l.129200.t.8,423.p.28534
25,3,423.l.129200.t.8,423.p.32687
26,3,423.l.129200.t.12,423.p.30161
27,3,423.l.129200.t.2,423.p.32723
28,3,423.l.129200.t.3,423.p.32711
29,3,423.l.129200.t.5,423.p.31856
30,3,423.l.129200.t.10,423.p.29235
31,3,423.l.129200.t.9,423.p.33394
32,3,423.l.129200.t.7,423.p.25812
33,3,423.l.129200.t.11,423.p.34063
34,3,423.l.129200.t.4,423.p.33413
35,3,423.l.129200.t.1,423.p.31838
36,3,423.l.129200.t.6,423.p.31883
37,4,423.l.129200.t.6,423.p.33966
38,4,423.l.129200.t.1,423.p.26662
39,4,423.l.129200.t.4,423.p.7200
40,4,423.l.129200.t.11,423.p.31056
41,4,423.l.129200.t.7,423.p.32703
42,4,423.l.129200.t.9,423.p.33965
43,4,423.l.129200.t.10,423.p.30996
44,4,423.l.129200.t.5,423.p.33398
45,4,423.l.129200.t.3,423.p.30259
46,4,423.l.129200.t.2,423.p.33991
47,4,423.l.129200.t.12,423.p.28592
